"userID","qnNum","qnRT","soundFocus","volume","volumePer","playNum","rateTime","valRating","arouRating","averRatingDef","arouRatingDef"
"IK7TQVA6",3,8527,"Dentist Drill
(Freesound)",4.16869383470335,1,1,1,18,91,45,38
"IK7TQVA6",4,10661,"Brownian Noise",4.16869383470335,1,1,1,43,56,35,56
"IK7TQVA6",5,8848,"800 Hz",4.16869383470335,1,1,1,11,57,49,45
"IK7TQVA6",6,9648,"Piano Melody
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,1,100,29,52,35
"IK7TQVA6",7,8333,"5,000 Hz",2.04173794466953,0.5,1,1,2,97,65,38
"IK7TQVA6",8,7600,"Scream
(Morriss et al., 2015; 2016; 2020)",4.16869383470335,1,1,1,0,100,56,59
"IK7TQVA6",9,9129,"Sea Wave
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,1,73,32,41,39
"IK7TQVA6",10,9346,"Scream
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,1,0,100,38,43
"IK7TQVA6",11,6592,"5,000 Hz",4.16869383470335,1,1,1,0,100,46,45
"IK7TQVA6",12,10730,"Sea Wave
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,1,76,42,58,47
"IK7TQVA6",13,6606,"Dentist Drill
(Freesound)",2.04173794466953,0.5,1,1,24,60,62,50
"IK7TQVA6",14,8125,"White Noise
(Bacigalupo & Luck, 2018)",4.16869383470335,1,1,1,0,84,53,48
"IK7TQVA6",15,5570,"Scream
(Morriss et al., 2015; 2016; 2020)",4.16869383470335,1,1,2,0,100,61,44
"IK7TQVA6",16,7711,"Scream
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,1,6,100,56,48
"IK7TQVA6",18,7969,"Pink Noise",2.04173794466953,0.5,1,2,15,94,48,47
"IK7TQVA6",19,7227,"800 Hz",2.04173794466953,0.5,1,1,25,80,59,65
"IK7TQVA6",20,5149,"Scream
(Morriss et al., 2015; 2016; 2020)",2.04173794466953,0.5,1,1,0,100,65,49
"IK7TQVA6",21,11324,"Piano Melody
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,1,91,22,59,65
"IK7TQVA6",22,5610,"White Noise
(Bacigalupo & Luck, 2018)",4.16869383470335,1,1,2,0,100,59,52
"IK7TQVA6",23,7262,"Sea Wave
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,2,77,25,57,59
"IK7TQVA6",24,6032,"Dentist Drill
(Freesound)",2.04173794466953,0.5,1,2,30,84,59,63
"IK7TQVA6",25,9538,"Cicada
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,1,100,11,60,42
"IK7TQVA6",26,8043,"Metal Screech
(Zald and Pardo, 2002)",2.04173794466953,0.5,1,1,37,68,49,35
"IK7TQVA6",27,6866,"High Frequencies
(Zald and Pardo, 2002)",4.16869383470335,1,1,1,30,88,58,61
"IK7TQVA6",28,7518,"Cicada
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,2,100,49,63,65
"IK7TQVA6",29,7174,"Metal Screech
(Zald and Pardo, 2002)",2.04173794466953,0.5,1,2,40,66,62,47
"IK7TQVA6",30,6487,"Brownian Noise",2.04173794466953,0.5,1,1,41,61,54,37
"IK7TQVA6",31,6018,"High Frequencies
(Zald and Pardo, 2002)",4.16869383470335,1,1,2,0,95,65,47
"IK7TQVA6",32,6230,"5,000 Hz",4.16869383470335,1,1,2,0,83,53,43
"IK7TQVA6",33,6832,"Pink Noise",4.16869383470335,1,1,1,0,72,44,38
"IK7TQVA6",35,5341,"Scream
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,2,0,100,61,41
"IK7TQVA6",37,5391,"Scream
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,2,0,100,36,57
"IK7TQVA6",38,9771,"Piano Melody
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,2,87,14,40,57
"IK7TQVA6",39,7279,"Brownian Noise",2.04173794466953,0.5,1,2,28,67,62,54
"IK7TQVA6",40,6900,"Cicada
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,1,97,10,55,38
"IK7TQVA6",41,5180,"Scream
(Morriss et al., 2015; 2016; 2020)",2.04173794466953,0.5,1,2,0,100,39,51
"IK7TQVA6",42,5837,"Piano Melody
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,2,96,14,53,44
"IK7TQVA6",43,7636,"Cicada
(IADS-E; Yang et al., 2018)",2.04173794466953,0.5,1,2,91,19,37,64
"IK7TQVA6",45,6296,"Metal Screech
(Zald and Pardo, 2002)",4.16869383470335,1,1,1,22,65,35,59
"IK7TQVA6",46,6235,"Metal Screech
(Zald and Pardo, 2002)",4.16869383470335,1,1,2,18,76,39,57
"IK7TQVA6",47,5592,"800 Hz",4.16869383470335,1,1,2,0,100,56,35
"IK7TQVA6",48,6235,"5,000 Hz",2.04173794466953,0.5,1,2,6,100,62,54
"IK7TQVA6",50,9467,"Sea Wave
(IADS-E; Yang et al., 2018)",4.16869383470335,1,1,2,43,41,44,37
"IK7TQVA6",53,6631,"High Frequencies
(Zald and Pardo, 2002)",2.04173794466953,0.5,1,2,10,97,65,54
"IK7TQVA6",54,6261,"Brownian Noise",4.16869383470335,1,1,2,20,70,42,50
"IK7TQVA6",55,6857,"Dentist Drill
(Freesound)",4.16869383470335,1,1,2,12,82,62,65
"IK7TQVA6",56,5091,"Pink Noise",4.16869383470335,1,1,2,24,84,59,50
"IK7TQVA6",58,6421,"800 Hz",2.04173794466953,0.5,1,2,15,81,59,39
"IK7TQVA6",59,6026,"White Noise
(Bacigalupo & Luck, 2018)",2.04173794466953,0.5,1,1,6,91,54,58
"IK7TQVA6",60,5914,"White Noise
(Bacigalupo & Luck, 2018)",2.04173794466953,0.5,1,2,11,85,57,47
"H9Z0EC82",1,27065,"Metal Screech
(Zald and Pardo, 2002)",10,0.5,5,1,18,82,60,54
"H9Z0EC82",3,8237,"5,000 Hz",100,1,1,1,20,85,62,45
"H9Z0EC82",4,18780,"White Noise
(Bacigalupo & Luck, 2018)",100,1,4,1,33,74,39,45
"H9Z0EC82",5,20724,"Sea Wave
(IADS-E; Yang et al., 2018)",10,0.5,4,1,80,35,47,49
"H9Z0EC82",6,20603,"Scream
(IADS-E; Yang et al., 2018)",10,0.5,4,1,24,94,52,40
"H9Z0EC82",7,9871,"5,000 Hz",100,1,1,2,11,96,39,47
"H9Z0EC82",8,20762,"Sea Wave
(IADS-E; Yang et al., 2018)",100,1,3,1,56,64,60,62
"H9Z0EC82",9,11445,"White Noise
(Bacigalupo & Luck, 2018)",10,0.5,2,1,43,70,58,42
"H9Z0EC82",10,9178,"Metal Screech
(Zald and Pardo, 2002)",100,1,1,1,31,68,41,51
"H9Z0EC82",11,18466,"Brownian Noise",10,0.5,3,1,50,42,60,55
"H9Z0EC82",12,15140,"Scream
(Morriss et al., 2015; 2016; 2020)",100,1,4,1,9,100,62,63
"H9Z0EC82",13,16163,"Brownian Noise",100,1,4,1,53,37,63,38
"H9Z0EC82",14,10662,"800 Hz",10,0.5,2,1,47,61,53,57
"H9Z0EC82",15,12260,"Pink Noise",100,1,2,1,40,64,41,52
"H9Z0EC82",16,11104,"High Frequencies
(Zald and Pardo, 2002)",100,1,3,1,44,65,64,36
"H9Z0EC82",17,6093,"High Frequencies
(Zald and Pardo, 2002)",100,1,1,2,42,63,50,55
"H9Z0EC82",18,8136,"Dentist Drill
(Freesound)",100,1,3,1,34,68,41,51
"H9Z0EC82",19,6806,"800 Hz",100,1,1,1,45,61,55,40
"H9Z0EC82",20,18273,"Brownian Noise",10,0.5,4,2,50,56,41,62
"H9Z0EC82",21,18088,"Piano Melody
(IADS-E; Yang et al., 2018)",10,0.5,4,1,67,32,65,57
